time,label,eval_mask,score,pred,threshold
2025-09-01 00:00:00,0,0,0.09699403494596481,0,2.6885736133222955
2025-09-01 00:01:00,0,0,0.09065617620944977,0,2.6885736133222955
2025-09-01 00:02:00,0,0,0.0891823098063469,0,2.6885736133222955
2025-09-01 00:03:00,0,0,0.0719984620809555,0,2.6885736133222955
2025-09-01 00:04:00,0,0,0.0719984620809555,0,2.6885736133222955
2025-09-01 00:05:00,0,0,0.07713277079164982,0,2.6885736133222955
2025-09-01 00:06:00,0,0,0.07713277079164982,0,2.6885736133222955
2025-09-01 00:07:00,0,0,0.0750599130988121,0,2.6885736133222955
2025-09-01 00:08:00,0,0,0.0750599130988121,0,2.6885736133222955
2025-09-01 00:09:00,0,0,0.0811053141951561,0,2.6885736133222955
2025-09-01 00:10:00,0,0,0.09528749684492747,0,2.6885736133222955
2025-09-01 00:11:00,0,0,0.09631529698769252,0,2.6885736133222955
2025-09-01 00:12:00,0,0,0.10167098045349121,0,2.6885736133222955
2025-09-01 00:13:00,0,0,0.1090859721104304,0,2.6885736133222955
2025-09-01 00:14:00,0,0,0.11640986303488414,0,2.6885736133222955
2025-09-01 00:15:00,0,0,0.1292507592588663,0,2.6885736133222955
2025-09-01 00:16:00,0,0,0.1382312998175621,0,2.6885736133222955
2025-09-01 00:17:00,0,0,0.13955426588654518,0,2.6885736133222955
2025-09-01 00:18:00,0,0,0.15013718232512474,0,2.6885736133222955
2025-09-01 00:19:00,0,0,0.15695510432124138,0,2.6885736133222955
2025-09-01 00:20:00,0,0,0.17048855721950532,0,2.6885736133222955
2025-09-01 00:21:00,0,0,0.18128685653209686,0,2.6885736133222955
2025-09-01 00:22:00,0,0,0.19106493294239044,0,2.6885736133222955
2025-09-01 00:23:00,0,0,0.2015702724456787,0,2.6885736133222955
2025-09-01 00:24:00,0,0,0.21549195051193237,0,2.6885736133222955
2025-09-01 00:25:00,0,0,0.22929566105206808,0,2.6885736133222955
2025-09-01 00:26:00,0,0,0.23542487372954687,0,2.6885736133222955
2025-09-01 00:27:00,0,0,0.24587942411502203,0,2.6885736133222955
2025-09-01 00:28:00,0,0,0.2577687054872513,0,2.6885736133222955
2025-09-01 00:29:00,0,0,0.2659832487503688,0,2.6885736133222955
2025-09-01 00:30:00,0,0,0.43667517389569965,0,2.6885736133222955
2025-09-01 00:31:00,0,0,3.471730811255319,1,2.6885736133222955
2025-09-01 00:32:00,0,0,3.471730811255319,1,2.6885736133222955
2025-09-01 00:33:00,0,0,3.2784218447549,1,2.6885736133222955
2025-09-01 00:34:00,0,0,3.092867851257324,1,2.6885736133222955
2025-09-01 00:35:00,0,0,2.6029461286962032,0,2.6885736133222955
2025-09-01 00:36:00,0,0,2.463394857943058,0,2.6885736133222955
2025-09-01 00:37:00,0,0,2.3296665735542774,0,2.6885736133222955
2025-09-01 00:38:00,0,0,2.203393466770649,0,2.6885736133222955
2025-09-01 00:39:00,0,0,2.1793134344948664,0,2.6885736133222955
2025-09-01 00:40:00,0,0,2.153857611119747,0,2.6885736133222955
2025-09-01 00:41:00,0,0,1.9769155184427898,0,2.6885736133222955
2025-09-01 00:42:00,0,0,1.9115653038024902,0,2.6885736133222955
2025-09-01 00:43:00,0,0,1.8132218254937067,0,2.6885736133222955
2025-09-01 00:44:00,0,0,1.5484046578407287,0,2.6885736133222955
2025-09-01 00:45:00,0,0,1.4632323026657104,0,2.6885736133222955
2025-09-01 00:46:00,0,0,1.4632323026657104,0,2.6885736133222955
2025-09-01 00:47:00,0,0,0.9814463704824448,0,2.6885736133222955
2025-09-01 00:48:00,0,0,0.8851637840270996,0,2.6885736133222955
2025-09-01 00:49:00,0,0,0.7974533259868621,0,2.6885736133222955
2025-09-01 00:50:00,0,0,0.6667341508648612,0,2.6885736133222955
2025-09-01 00:51:00,0,0,0.5966696657917716,0,2.6885736133222955
2025-09-01 00:52:00,0,0,0.5895038098096848,0,2.6885736133222955
2025-09-01 00:53:00,0,0,0.5895038098096848,0,2.6885736133222955
2025-09-01 00:54:00,0,0,3.075063149134318,1,2.6885736133222955
2025-09-01 00:55:00,0,0,3.075063149134318,1,2.6885736133222955
2025-09-01 00:56:00,0,0,0.4159734435379505,0,2.6885736133222955
2025-09-01 00:57:00,0,0,0.37226835389931995,0,2.6885736133222955
2025-09-01 00:58:00,0,0,0.3308614132304986,0,2.6885736133222955
2025-09-01 00:59:00,0,0,0.29697970921794575,0,2.6885736133222955
2025-09-01 01:00:00,0,0,0.25735727945963544,0,2.6885736133222955
2025-09-01 01:01:00,0,0,0.22809497763713202,0,2.6885736133222955
2025-09-01 01:02:00,0,0,0.20831844583153725,0,2.6885736133222955
2025-09-01 01:03:00,0,0,0.19449944297472635,0,2.6885736133222955
2025-09-01 01:04:00,0,0,0.18591127172112465,0,2.6885736133222955
2025-09-01 01:05:00,0,0,0.18385753159721693,0,2.6885736133222955
2025-09-01 01:06:00,0,0,0.18046142409245172,0,2.6885736133222955
2025-09-01 01:07:00,0,0,0.18046142409245172,0,2.6885736133222955
2025-09-01 01:08:00,0,0,0.18046142409245172,0,2.6885736133222955
2025-09-01 01:09:00,0,0,0.18233998864889145,0,2.6885736133222955
2025-09-01 01:10:00,0,0,0.1876841907699903,0,2.6885736133222955
2025-09-01 01:11:00,0,0,0.18935722609361014,0,2.6885736133222955
2025-09-01 01:12:00,0,0,0.19797715668876967,0,2.6885736133222955
2025-09-01 01:13:00,0,0,0.20574339230855307,0,2.6885736133222955
2025-09-01 01:14:00,0,0,0.21656582380334535,0,2.6885736133222955
2025-09-01 01:15:00,0,0,0.22254977375268936,0,2.6885736133222955
2025-09-01 01:16:00,0,0,0.23400094111760458,0,2.6885736133222955
2025-09-01 01:17:00,0,0,0.24741156275073686,0,2.6885736133222955
2025-09-01 01:18:00,0,0,0.2560473581155141,0,2.6885736133222955
2025-09-01 01:19:00,0,0,0.27072517573833466,0,2.6885736133222955
2025-09-01 01:20:00,0,0,0.37171262751022977,0,2.6885736133222955
2025-09-01 01:21:00,0,0,2.492794394493103,0,2.6885736133222955
