PointPrecision,PointRecall,PointF1,ROC-AUC,PR_AUC,FAR,MDR,Detected,ROC_AUC,PR_AUC_AP,FullFAR,AdjPrecision,AdjRecall,AdjF1,EventPrecision,EventRecall,EventF1,PredEventCount,FalsePredEventCount,MatchedEventCount,DetectedEvents,NumEvents,DelayMeanMin,DelayMedianMin,IndependentMaxDelayMin,AlarmEpisodes,MatchedAlarmEpisodes,Delay,DelayDetectedOnly,Merge120EventPrecision,Merge120EventRecall,Merge120EventF1,Merge120PredEventCount,Merge120FalsePredEventCount,Merge120MatchedEventCount,Merge120DelayMeanMin,Threshold,EvalPoints,Seed
0.8309104820198929,0.905,0.8663741523733547,0.9763777619949494,0.8817792260314299,0.041856060606060605,0.095,1307,0.9763777619949494,0.8817792260314299,0.041856060606060605,0.844475721323012,1.0,0.9156810377718427,0.75,1.0,0.8571428571428571,12,3,9,10,10,0.0,0.0,0.0,12,9,0.0,0.0,0.75,1.0,0.8571428571428571,12,3,9,0.0,2.7103162515151955,6480,42
0.8162040510127532,0.9066666666666666,0.8590604026845637,0.9755999053030304,0.8823371264883081,0.04640151515151515,0.09333333333333334,1333,0.9755999053030304,0.8823371264883081,0.04640151515151515,0.8304498269896193,1.0,0.9073724007561437,0.8181818181818182,1.0,0.9,11,2,9,10,10,0.0,0.0,0.0,11,9,0.0,0.0,0.8181818181818182,1.0,0.9,11,2,9,0.0,2.5759648565687865,6480,2024
0.8260211800302572,0.91,0.865979381443299,0.9769809027777778,0.8774043125277553,0.043560606060606064,0.09,1322,0.9769809027777778,0.8774043125277553,0.043560606060606064,0.8391608391608392,1.0,0.9125475285171103,0.75,1.0,0.8571428571428571,12,3,9,10,10,0.0,0.0,0.0,12,9,0.0,0.0,0.75,1.0,0.8571428571428571,12,3,9,0.0,2.6208576860202935,6480,2025
0.8276125095347063,0.9041666666666667,0.8641975308641975,0.9758426452020201,0.8808855698426128,0.0428030303030303,0.09583333333333334,1311,0.9758426452020201,0.8808855698426128,0.0428030303030303,0.8415147265077139,1.0,0.913937547600914,0.75,1.0,0.8571428571428571,12,3,9,10,10,0.0,0.0,0.0,12,9,0.0,0.0,0.75,1.0,0.8571428571428571,12,3,9,0.0,2.7074476334182513,6480,2026
0.8283752860411899,0.905,0.8649940262843488,0.9761216856060606,0.8776798415567577,0.04261363636363636,0.095,1311,0.9761216856060606,0.8776798415567577,0.04261363636363636,0.8421052631578947,1.0,0.9142857142857143,0.75,1.0,0.8571428571428571,12,3,9,10,10,0.0,0.0,0.0,12,9,0.0,0.0,0.75,1.0,0.8571428571428571,12,3,9,0.0,2.73611410866958,6480,2027
0.8309104820198929,0.905,0.8663741523733547,0.9763283617424243,0.883095821678528,0.041856060606060605,0.095,1307,0.9763283617424243,0.883095821678528,0.041856060606060605,0.844475721323012,1.0,0.9156810377718427,0.75,1.0,0.8571428571428571,12,3,9,10,10,0.0,0.0,0.0,12,9,0.0,0.0,0.75,1.0,0.8571428571428571,12,3,9,0.0,2.6885736133222955,6480,2028
0.8229088168801808,0.91,0.8642659279778392,0.9767964015151516,0.8770729788012438,0.04450757575757576,0.09,1327,0.9767964015151516,0.8770729788012438,0.04450757575757576,0.8362369337979094,1.0,0.9108159392789373,0.75,1.0,0.8571428571428571,12,3,9,10,10,0.0,0.0,0.0,12,9,0.0,0.0,0.75,1.0,0.8571428571428571,12,3,9,0.0,2.5788741228404053,6480,2029
0.8284839203675345,0.9016666666666666,0.8635275339185953,0.9754286616161616,0.8803997002389831,0.04242424242424243,0.09833333333333333,1306,0.9754286616161616,0.8803997002389831,0.04242424242424243,0.8426966292134831,1.0,0.9146341463414633,0.75,1.0,0.8571428571428571,12,3,9,10,10,0.0,0.0,0.0,12,9,0.0,0.0,0.75,1.0,0.8571428571428571,12,3,9,0.0,2.74880538197571,6480,2030
0.8151197604790419,0.9075,0.8588328075709779,0.9759219539141413,0.8849275772623858,0.04678030303030303,0.0925,1336,0.9759219539141413,0.8849275772623858,0.04678030303030303,0.82930200414651,1.0,0.9066868152625613,0.8181818181818182,1.0,0.9,11,2,9,10,10,0.0,0.0,0.0,11,9,0.0,0.0,0.8181818181818182,1.0,0.9,11,2,9,0.0,2.5382476432581913,6480,2031
0.8185907046476761,0.91,0.861878453038674,0.9767624684343434,0.8851912789002266,0.04583333333333333,0.09,1334,0.9767624684343434,0.8851912789002266,0.04583333333333333,0.8321775312066574,1.0,0.9084027252081756,0.7272727272727273,1.0,0.8421052631578948,11,3,8,10,10,0.0,0.0,0.0,11,8,0.0,0.0,0.7272727272727273,1.0,0.8421052631578948,11,3,8,0.0,2.6182217356605166,6480,2032
